text,keywords
"within the warranty period, licensee may elect to pay d a sum of ,, as a one time paid up runtime license fees for the basic services specified in exhibit a",license licensee warranty pay sum
"d shall only be paid either by monsanto or by the successor to the roundup business, as the case may be, upon the following terms and conditions omitted in the event the agreement is effectively terminated by either monsanto or its successor or by the agent upon material breach",agreement roundup business successor breach
"each party agrees that in the event it violates the provisions of this section , it will pay to the other party as liquidated damages, and not as a penalty",damages penalty pay party section
"in the case that either company is acquired by, or merges with, another company which has reason to not wish to continue the relationship",relationship acquired company continue reason
"if healthgate fails to complete the system development by the system completion date, unless such failure results from the publishers default in performing its obligations under this agreement or from an extension of time agreed in writing, the publishers may in their discretion notify healthgate accordingly",failure completion development notify complete
"and if such failure is not remedied within calendar days, recognising the loss caused to the publishers, will on demand from the publishers pay to the publishers a sum calculated at the rate of of the value of the contract in respect of every days which elapse from the system completion date to the actual date of completion of the system",failure contract loss completion calculated
"licensor shall make available to rogers, on a free trial basis and at no cost to rogers, not less than ten licensed programs at all times during the term each",licensed licensor free cost trial
"if women.com does not deliver at least of the quarterly impression guarantee for advertsing promotions as set forth on exhibit b ,, per quarter ,, per year of the quarterly impression guarantee for the diet center logo as set forth on exhibit b",guarantee impression quarterly exhibit quarter
"per quarter ,, per year and of the quarterly impression guarantee for other campaigns as set forth on exhibit b ,, per quarter",quarterly quarter impression exhibit guarantee
"per year each quarter following the launch date, within sixty days of the end of the applicable quarter, women.com shall deliver an amount equal to the under delivery within the same campaign elements",quarter delivery date deliver year
"during the term, ediets.com will be guaranteed million circulation per year from and after the effective date via newsletters, including but not limited to fashion beauty newsletter",newsletter fashion million year beauty
"subscribers per month food news , subscribers per month prevention ,, subscribers per month internet scopes",month news food prevention
"subscribers per month sex romance , subscribers per month what s new ,, subscribers per month women.com member newsletter",newsletter month romance new sex
"subscribers per month guaranteed circulation per year ,, notwithstanding the foregoing, women.com does guarantee a minimum of",month guarantee minimum circulation year
"in consideration of the above pricing, tl guarantees to purchase from integrity a minimum of ten thousand , units of each recorded product during the first thirty two months of release",purchase integrity release thousand product
"endorser shall also supply musclepharm with at least fifty signed items for each contract year, on the licensed products or on other items to be mutually agreed upon by the parties hereto, to be used by musclepharm in connection with the promotion of the products and or licensed products",endorser contract licensed supply promotion
"notwithstanding the foregoing, lender shall be entitled to receive a guaranteed minimum royalty for each contract year including the additional term, if any the guaranteed minimum royalty",lender contract royalty minimum notwithstanding
"guaranteed minimum royalty during the initial term contract year minimum royalty timing of payment one ,, payment due on the following dates july , payment due on the following dates july",contract payment minimum year royalty
"payment due on the following dates july , guaranteed minimum royalty during the first additional term in the event that the renewal threshold is achieved in the third contract year, during the first additional term the minimum royalty and timing of payment shall be as follows contract year minimum royalty timing of payment four",renewal payment minimum contract royalty
"payment due on the following dates july , payment due on the following dates july , payment due on the following dates july",payment following
"guaranteed minimum royalty during the second additional term in the event that the second renewal threshold is achieved in the sixth contract year, during the second additional term the minimum royalty and timing of payment shall be as follows contract year minimum royalty timing of payment seven ,, payment due on the following dates july",renewal minimum contract royalty payment
"if the amount of royalty payment under section is less than the amount of royalty payment under section , then eton shall pay aucta the difference between royalty payments in sections and within sixty days of the calendar year end, but in no event shall the difference paid be greater than the minimum amount in section",payment royalty pay minimum section
"failure to meet these minimum performance goals for any period, at erchonia s option i be considered a breach of this agreement for which erchonia shall have all the rights and remedies provided for herein upon a breach of this agreement, including termination of this agreement",termination agreement failure breach shall
"if this agreement is extended beyond the initial term, as hereinafter defined, the number of customer locations to be secured to maintain exclusivity during the pendency of the agreement shall be increased to from",agreement hereinafter extended exclusivity maintain
"subject to section , the village media company shall, or shall cause hofv to",village media section subject shall
"pay to pfhof a minimum guarantee of one million two hundred and fifty thousand dollars ,, the annual guarantee each year during the term provided that the parties acknowledge and agree that after the first five years of the term, the annual guarantee shall increase by three percent on a year over year basis e.g",guarantee annual minimum pay million
"the annual guarantee shall increase to ,, for year six and to ,, for year seven",guarantee annual year seven increase
"cytodyn shall have the right to terminate this agreement in its entirety upon written notice to vyera on the occurrence of any of the following omitted d upon written notice, in the event vyera fails to meet any of the minimum requirements and has not cured such failure, to the extent curable",agreement terminate curable written shall
"during the warranty period, operator shall determine i for each full calendar month the one month power performance warranty period within five business days after the end of such month and ii for the most recent look back period the one year power performance warranty period , together with the one month power performance warranty period",warranty month power days performance
"in order to manage demand fluctuations, contractor shall maintain an amount of additional units of each product as fgi, in a minimum level of two weeks of supply and a maximum of four weeks of supply of each product set forth in the most recent customer s forecast",demand contractor supply minimum forecast
"kitov shall provide dexcel with written purchase orders meeting the minimum order requirements and in a form reasonably acceptable to dexcel, and which shall specify at least the following a description of the product ordered, the quantity ordered",order ordered quantity provide minimum
"the current supply price, and the required delivery date thereof, such required delivery date to be not less than one hundred and twenty days from the purchase order placement date one hundred and eighty days before the anticipated supply commencement date and or the launch of a new sku",delivery supply date purchase order
"during the exclusivity period, on a product sku by product sku and country by country basis within the applicable territory, customer shall purchase from manufacturer",manufacturer purchase exclusivity country applicable
"in accordance with the terms and conditions of this agreement, at least the exclusive purchase requirement of its requirements for such product sku in such country provided, that in flight or shared volume products shall be excluded from the exclusivity requirements set forth in this section e i",exclusive agreement requirement purchase product
"notwithstanding section e i , customer acknowledges and agrees that a each purchase order customer places hereunder for product that is either api or bulk drug product shall be equal to, or a whole multiple of",bulk order purchase product customer
"the batch size for such applicable product as set forth in the applicable facility addendum and b each purchase order that customer places hereunder for product that is finished product shall be equal to or greater than the minimum order quantity for such applicable product as set forth in the applicable facility addendum provided that, where customer places purchase orders under b above that exceed the applicable minimum order quantity, customer shall omitted place such purchase orders for such excess quantities in increments above the minimum order quantity as specified in the applicable facility addendum",batch quantity order exceed size
"if the reseller sells less than of any year s annual milestone, in its sole discretion, may either a cancel the reseller s exclusivity",reseller cancel annual discretion milestone
"and sell the products in the territory directly or indirectly through other distributors and resellers, while leaving the reseller with a non exclusive right to distribute and sell the products for the remainder of the term, or b terminate the agreement upon one hundred eighty days prior written notice",reseller distribute sell agreement exclusive
"notwithstanding the above, pfizer agrees to invest its portion of shared m p expense each calendar year subject to, a exact spending at least twelve million dollars",expense spending invest million portion
"in baseline m p expense each calendar quarter provided, that notwithstanding exact s quarterly spend for baseline m p expense, exact shall spend a total of eighty million dollars",quarterly expense spend total million
"in baseline m p expense each calendar year measured as of the end of each calendar year , b an amount equal to the total shared m p expense contributed by both parties is used for marketing and promotion and c a total sum of not less than eighty million dollars ,, of baseline m p expense is used for marketing and promotional activities",expense promotional marketing total promotion
"including the costs of exact sponsorships and related activities provided, the parties may agree to reallocate shared m p expenses by source exact sciences corp, mutual written consent",corp consent mutual reallocate
"exact agrees it shall spend at least eighty million dollars ,, toward marketing and promotion including any amounts spent between january , and the effective date and the pro rated shared m p expense for",expense spend spent million promotion
"without limiting the generality of the foregoing, and continuing throughout the remainder of the term, valeant shall maintain at least one hundred sales representatives with responsibility to detail the product in the specialty in the territory",maintain specialty product responsibility shall
"if the aggregate actual number of details for the product made by the sales representatives for a calendar quarter is less than the quarterly minimum details for such calendar quarter, then in calculating the promotion fee due under section , the applicable percentage for such calendar quarter shall be reduced to a new percentage equal to",quarterly percentage promotion quarter fee
"if the quarterly average sales force size is less than sales representatives for an applicable calendar quarter, then in calculating the promotion fee due under section , the applicable percentage for such calendar quarter shall be reduced to a new percentage equal to",quarterly promotion percentage quarter fee
"a party shall have the right to terminate this agreement before the end of the term as follows omitted by dova if the aggregate actual number of details for the product made by the sales representatives for a calendar quarter is less than the quarterly minimum details for consecutive calendar quarters, upon written notice to valeant, such notice to be delivered no less than following the end of the last consecutive calendar quarter in which the actual details are less than the quarterly minimum details",quarterly agreement quarter terminate quarters
"moq means the minimum order quantity of product units during the initial term, as set forth in schedule omitted if reseller fails to submit orders with an aggregate value equal to or greater than the moq, then reseller shall pay supplier a sum equal to the shortfall",aggregate quantity reseller supplier term
"notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in sections a and b shall become non exclusive if omitted or ii at any time after november , cht fails to achieve annual revenues of",notwithstanding license exclusive appointment annual
"business entity minimum monthly commitment means, for each business entity, a minimum monthly commitment of at least users",monthly minimum commitment entity business
"minimum annual product performance requirements are listed below product name agreed quantity of units to be purchased per annum atp s survivor select gm packaged , atp energized mineral concentrate ml packaged , atp ionized cal mag gm packaged",quantity product minimum annual
"atp omega blend ml packaged , atp betamaxx gm packaged , agp iron ml packaged yfa young formula gm packaged oryc organic soap gm packaged",soap organic blend omega
"in accordance with the provisions of this agreement, exxonmobil selling affiliates agree to sell to buyer affiliates, and buyer affiliates agree to purchase from exxonmobil selling affiliates",agreement buyer selling sell purchase
"the following product s collectively, product products quantity metric tons year container packageyear minimum maximum leased metal crates subject to this agreement s terms and conditions, buyer affiliates shall purchase and exxonmobil selling affiliates shall sell the yearly minimum amount of product amounts in the aggregate listed above",aggregate quantity agreement minimum
"new shippers will have access to a minimum of ten percent of the available capacity products of the required specifications shall be tendered for transportation in quantities of not less than , barrels of the same specification, except that carrier may",capacity specification minimum carrier percent
"excite will supply to application provider a minimum of payment eligible user data records for general program members containing all available information set forth in section h definitions in each quarter during the term of this agreement, beginning with the quarter in which the launch date as hereinafter defined falls, for a minimum of of these general program member user data records during the term of this agreement",excite payment application data agreement
"excite will supply to e centives a minimum of payment eligible user data records for qualified program members containing all available information set forth in section h definitions in each quarter during the term of this agreement, beginning with the quarter in which the launch date as hereinafter defined falls, for a minimum of of these qualified program member user data records during the term of this agreement",excite payment agreement data eligible
"within days of launch date excite will pay e centives a non refundable minimum of and will continue to pay a minimum of each quarter, payable at the beginning of the quarter, during the term of this agreement for such packages",excite minimum payable pay quarter
"verticalnet agrees to guarantee that, during the initial term of this agreement, leadersonline shall earn leadersonline verticalnet revenue of at least dollars the guaranteed amount",guarantee revenue earn agreement shall
"during the term, verticalnet shall have the exclusive right to arrange for the sale of of the third party advertising inventory which shall consist of a minimum of one advertisement per page on each of the co branded equipment, co branded careers",advertising advertisement inventory branded sale
"for each twelve month period following the effective date during the term, and as long as network affiliate s attendance base in the theatres for the twelve month period is equal to or greater than , patrons the base amount",attendance month affiliate date period
"each station will provide network with up to mbps, at all times, not less than mbps",station network provide times
"for this purpose, except as required in infrequent and exceptional circumstances resulting from a station s carriage of the primary television network with which such station is affiliated with regard to its primary feed e.g., nbc and fox affiliate shall actively promote the service consistent with its business judgment",affiliate station television fox network
"including the broadcast by each station transmitting the service of an average of at least ten thirty second promotional announcements per week for the service promotional spots on the station s primary feed, including the station s analog signal for so long as the station broadcasts an analog signal, on a run of station basis",broadcast station signal promotional service
"in consideration for the rights, services and benefits granted by north hereunder, company agrees to pay north a non refundable guaranteed service fee and marketing retainer hereinafter referred to as guaranteed fee of fifty five thousand dollars ,usd in contract year and seventy thousand dollars ,usd in contract year",fee hereinafter contract north pay
"subject to the second sentence of this section , bioeq may notify licensee of its intent to terminate this agreement anytime within thirty days following the end of any month time period starting months after the first commercial sale of the first product in the field in the territory upon written notice to licensee, with respect to its sales of licensed products in the field in the territory",licensee terminate licensed agreement commercial
"has not achieved an average market share of at least percent of the such market excluding for clarity in all cases , calculated based on in the field in the territory in the months prior to the end of such month time period i.e., in months of the after the first commercial sale of such product minimum market share requirement upon licensee s receipt of such notice from bioeq",market percent average calculated share
"if licensee does not achieve the minimum market share requirement, applied mutatis mutandis, during the subsequent months period following its receipt of such notice from bioeq licensee cure period",licensee market applied share requirement
"bioeq may terminate this agreement upon written notice to licensee provided further, that the termination right described in this section shall apply only if , and provided further that such failure of licensee to achieve the minimum market share requirement i is not due to any including ii not due to any bioeq s right to notify licensee of its intent to terminate this agreement in accordance with the first sentence of this section shall apply only until days after the anniversary of the first commercial sale of the first product in the field in the territory",licensee terminate termination agreement commercial
"during the term, except as otherwise provided herein, neither t b nor any of its affiliates may offer to sell or sell any product or service that is the same or similar to the products in the exclusive field of use",exclusive sell product service term
"or direct any person or entity to contact or solicit, any of the customers of or customers set forth in the customer data for the purpose of providing any products or services that are the same or similar to the products provided, that t b",solicit customer contact providing entity
"in its sole and absolute discretion, shall have the right to terminate this agreement, including all rights and licenses granted to lea herein",agreement terminate discretion shall lea
"in consideration of the exclusivity rights granted to lea, commencing with the seventh t h month of the term and continuing each year of the term thereafter, the minimum royalties payable to t b each month shall be the greater of the i applicable monthly base royalty and marketing royalty or ii",lea royalty monthly minimum payable
"to facilitate the effective launch of the business, t b shall assist lea by providing the following o approved images minimum hero image poses studio or in the field of tarek full length, waist up and or chest up o hi resolution x or x dpi flattened file file format .jpg",image resolution format file lea
"o approved copy minimum topics to post paragraphs of content o event promotion, motivational and real estate content o approved videos minimum videos seconds to minutes o studio or in the field of tarek event promotion, motivational and real estate content o personal post minimum social post on all platforms inviting people to events",content promotion post social minimum
"products or services approved copy minimum topics to post paragraphs of content o event promotion, motivational and real estate content o approved videos minimum videos seconds to minutes o studio or in the field of tarek event promotion, motivational and real estate content approved copy minimum topics to post paragraphs of content o event promotion",content copy promotion minimum studio
"in connection with the development, manufacture and commercialization of the product and fulfillment of pb s obligations hereunder, pb shall spend at least an amount equal to the amount of funding paid by sfj to pb pursuant to this section",commercialization fulfillment spend pursuant manufacture
"zynga will pay wpt three million u.s. dollars ,, per year according to the following schedule which the parties may alter upon mutual agreement the annual minimum guarantee a. within thirty days of executing this agreement m b. july , m c. january",pay million guarantee annual agreement
"performance in lieu of pacificap entertainment granting a year exclusive content license to the henry film and entertainment corporation, the henry film and entertainment corporation agrees to share a minimum of , annually for each year of this agreement",henry license corporation entertainment annually
"in the event of the henry film and entertainment corporation, not fulfilling this minimum performance, pacificap entertainment may cancel this agreement",entertainment cancel corporation film henry
"the affinities shall collectively contain at least sixteen thousand , articles written in simplified chinese characters, with an average and median number of words per article of no less than one thousand",average thousand collectively article median
"during each contract year, as defined below, distributor shall purchase from staar the minimum quantity of each product that shall be mutually agreed between the parties in advance of the applicable contract year minimum product quantities",contract quantity distributor minimum purchase
"within ninety days prior to the expiration of each contract year, the parties will discuss in good faith and agree on the minimum product quantities for the successive contract year provided, if the parties fail to reach agreement on or otherwise specify the minimum purchase quantities for the successive contract year",expiration contract minimum agreement purchase
"staar shall have the right to terminate this agreement by giving written notice to distributor, effective immediately on receipt of such notice, a if distributor fails to meet the annual minimum volume as set forth in section or b pursuant to section",agreement terminate distributor receipt pursuant
"a minimum of d java game in connection with the initial theatrical release d java game in connection with the dvd release java applications screensavers d screensavers and d screensavers in connection with the initial theatrical release mms wallpapers voicetones a minimum of d java game, which shall include mutually agreed upon d elements java application screensaver where feasible mms wallpapers voicetones a minimum of java game d or d to be mutually agreed java application screensaver where feasible mms wallpapers voicetones a minimum of java game d or d to be mutually agreed java application screensaver where feasible mms wallpapers voicetones a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement, licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement",agreement minimum release licensee mutually
"licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones, if talent agreements so allow a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement, licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones",licensee agreement application decision
"if talent agreements so allow a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement, licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones, if talent agreements so allow a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement",agreement licensee minimum application mutually
"licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones, if talent agreements so allow a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement, licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones",licensee agreement application decision
"if talent agreements so allow a minimum of java game d or d to be mutually agreed provided that if the parties are unable to reach an agreement, licensee s decision will prevail java application screensaver where feasible mms wallpapers voicetones, if talent agreements so allow",agreement licensee application talent allow
"in addition to any outstanding guarantee payments which licensee shall pay to fox as set forth in paragraph of this amendment below, licensee shall pay to fox a minimum recoupable guarantee of dollars us on or before ice age guarantee , and the omitted portions of this exhibit have been filed with the securities and exchange commission pursuant to a request for confidential treatment under rule promulgated under the securities act of source glu mobile inc",pursuant guarantee fox licensee amendment
"celebrity shall appear at least each of the following not to exceed six consecutive hours a one day engaging with franchisees and team members at company wide event s b one day visiting papa john s pizza stores, date and locations to be mutually agreed upon by the parties and c one day at a community event, date and location to be mutually agreed upon by the parties",papa celebrity pizza event date
"beginning on the opening date, during each consecutive three calendar month period during the term, you must spend three percent or more of your gross sales on local marketing of the franchised business",marketing business percent opening month
"in the event the minimum royalty is not achieved in any year based on the royalty payments made in such year, efs shall pay the shortfall between the royalty earned and the applicable minimum royalty due, within sixty days of the end of such year",royalty shortfall minimum year pay
"in the event the minimum royalty is not achieved in any year based on the royalty payments made in such year, efs shall pay the shortfall between the royalty earned and the applicable minimum royalty due, within sixty days of the end of such year",royalty shortfall minimum year pay
"in the event efs does not meet the full amount of the minimum royalty during the applicable year in which such minimum royalty was owed to client, efs will not be permitted to offset the shortfall with any overages from any previous or subsequent year, and a new minimum royalty will be due as set forth in this section",shortfall minimum royalty applicable year
"in the event that this agreement is terminated prior to the end of the initial term, any portion of the year minimum royalty that has been spread across years through of the term pursuant to exhibit and which has not yet been paid to client, shall immediately become due and owing",pursuant agreement owing royalty year
"in such event, the annual minimum royalty during the renewal term, shall be equal to the greater of a of the actual royalty paid to client in year and b",renewal annual royalty minimum year
"during the term of this agreement, premier shall be required to purchase a minimum annual order volume maov of units for each twelve month period commencing july , and for the six month period commencing july",order month agreement annual premier
"if the final production quantity for any accepted po is less than of the po quantity ordered, or if the quantity of production released for shipment within from the last day of production is less than of the po quantity, upon request by premier",production quantity shipment ordered premier
"during the term of this agreement, premier shall be required to purchase a minimum annual order volume maov of units for the twelve month period commencing july , and ending june",month order annual agreement june
"in the event the company is unable to sell a minimum of shares within the period herein provided, this agreement shall terminate and the company shall refund to any persons who have subscribed for any of the shares the full amount which it may have received from them plus accrued interest, as set forth in the prospectus and none of the parties to this agreement shall have any obligation to the other parties hereunder",agreement minimum refund sell shall
"except as set forth in this section and in sections , and hereof in the event the company fails to sell the required minimum number of the shares by the date when such sales must be completed, in accordance with the provisions of the plan or as required by the conversion regulations",minimum sell conversion number
"and applicable law, this agreement shall terminate upon refund by the company to each person who has subscribed for or ordered any of the shares the full amount which it may have received from such person, together with interest as provided in the prospectus",refund agreement prospectus company terminate
"iso agrees that the initial amount of the offset account will be and, the offset account will, at all times",offset iso account initial times
"intuit will place a sponsor client graphic consisting of a minimum of x pixels, with a mutually agreed upon text in two mutually agreed upon, small business email newsletters sent by intuit",intuit sponsor client text graphic
"if intuit fails to deliver such impressions during the twelve month period following the launch date, intuit agrees to run such promotions in equivalent areas and placement, as mutually agreed upon by the parties",intuit month launch placement date
"if intuit fails to deliver such impressions during the twelve month period following the launch date, intuit agrees to run such promotions in equivalent areas and placement, as mutually agreed upon by the parties",intuit month launch placement date
"if intuit fails to deliver such impressions during the twelve month period following the launch date, intuit agrees to run such promotions in equivalent areas and placement, as mutually agreed upon by the parties",intuit month launch placement date
"during the promotion period, ivillage will deliver a minimum of advertising impressions, in an equal proportion each month",advertising promotion month minimum proportion
"if ivillage falls to deliver the advertising impressions during the promotion period and fmm desires that ivillage make good the undelivered impressions and extend the initial term pursuant to option a set forth in section c. iii , if the parties have decided not to renew the initial term and ivillage desires to enter into an agreement with an entity whose business es would pose a conflict to fmm omitted or ford motor credit, at ivillage s option",pursuant promotion advertising agreement ford
"may refund the remaining impression deficiency to fmm, and immediately upon pavement of such, the make good obligation shall terminate",obligation refund terminate shall impression
"during the initial term, ivillage will design and administer, i a minimum of online conferences which shall include live chats and the archiving of conference transcripts dates of such conferences shall be determined by fmm and shall occur approximately once every two months",conference administer
"in consideration of the agreement of the contractor to provide its services as set forth in this agreement, the company will pay the contractor the following amounts i a monthly service fee of per note based on the maximum number of notes outstanding during the month, subject to a monthly minimum of",contractor fee monthly agreement pay
"the minimum monthly fee shall not be less than five thousand dollars , per month as applicable, minimum fee",fee minimum monthly thousand month
"within seventy five days following the end of each month of a calendar year during the term that bcf as defined below for such month, when combined with bcf for all prior months during such calendar year other than any month which is outside the term is less than the minimum bcf, nexstar shall pay a fee to wyzz in an amount equal to thirty five percent of bcf for such month",fee month minimum percent pay
"within seventy five days following the end of each month of a calendar year during the term that bcf for such month, when combined with bcf for all prior months of such calendar year other than any month which is outside the term is greater than the minimum bcf, nexstar shall pay a fee to wyzz in an amount equal to of bcf for such month provided",fee month minimum pay calendar
"in the first month of each calendar year in which this sentence applies, the fee with respect to the portion of bcf for such month which, when combined with bcf for all prior months during such year other than any month which is outside the term is exactly equal to the minimum bcf",fee month calendar year minimum
"the minimum bcf shall be three million seven hundred thousand dollars ,, for calendar year and shall be increased on january , and on each january thereafter in an amount equal to the percentage increase in the consumer price index published by the u.s. department of labor",minimum thousand million increase price
"within ninety days following each calendar year during the term, nexstar shall notify wyzz of the bcf for such year the final bcf report and, subject to clause h of this section",calendar report year clause final
"within thirty days after such notification either nexstar shall make a payment to wyzz or wyzz shall make a payment to nexstar, as appropriate to true up the payments made hereunder based on i the final determination of the bcf for the entire year, and ii the principle that the aggregate section a amount for the calendar year should be equal to x thirty five percent of bcf for such calendar year up to the minimum bcf for such year",payment aggregate calendar year thirty
"plus y fifty percent of bcf for such calendar year in excess of the minimum bcf for such year, minus z the sum of one hundred percent of any costs incurred by nexstar during such calendar year in maintaining, replacing or purchasing capital equipment which is owned by wyzz or which is used solely in connection with the operation of wyzz tv",year calendar operation minus
"the minimum sell through commitment will increase in years and of this agreement as follows omitted year annual minimum payment , plus a percentage increase in the annual minimum payment equal to of the difference between the number of emails sent by hsns on behalf of outsourcing customers in year and year , up to a maximum year payment of",minimum maximum payment commitment sell
"notwithstanding the foregoing, schoolpop shall fund from aeis a minimum of ,, of cards the guaranteed minimum in each contract year in order to maintain the exclusive right to sell cards in the npo marketplace",fund minimum contract exclusive
"in any contract year in which schoolpop fails to fund the guaranteed minimum, aeis shall have the right, in its sole discretion",contract discretion minimum fund shall
"in any consecutive three month period in which the difference between the card inventory forecast less the actual card order volume for that period is a shortage of ten percent or greater , aeis reserves the right to assess a penalty, card inventory penalty of sixteen and one half cents per card for such difference as detailed in examples and below",penalty inventory card forecast shortage
"cbc shall maintain, at all times, manufacture and supply capacity of at least of the annual forecast and shall maintain",maintain forecast capacity supply annual
"in the event that integra fails to satisfy the minimum payment for any minimum payment period, at its sole election, as set forth in section",payment minimum election period section
"notwithstanding the provisions of section , if integra i fails to timely pay any minimum payments due under section for any minimum payment period omitted the exclusive rights granted to integra under section shall, at the option of pcomed",payment pay notwithstanding section minimum
"unless otherwise set forth in a relevant module, the quantity of miltenyi product s forecasted for each calendar month of the firm zone of the most recent rolling monthly forecast submitted pursuant to section a of this agreement shall be binding on both parties, commencing on the effecctive date of the agreement but not for the first three months thereto",forecast agreement monthly month pursuant
"and in each calendar month during the term, bellicum shall have the firm obligation to order at a minimum the amount of miltenyi product s specified for the first st calendar month of the most recent rolling monthly forecast omitted such amount, the firm zone requirements",forecast monthly minimum order month
"upon bellicum s request and subject to payment of the firm zone shortfall amount by bellicum, if so requested by bellicum, provide bellicum with miltenyi s remaining stock of the relevant forecasted miltenyi products equal in value to such firm zone shortfall amount",stock shortfall firm payment provide
"in the event bellicum s aggregate purchases of miltenyi products from miltenyi under this agreement in any calendar year during the term is less than ... ... of the rolling monthly forecast subject to sections and , at the beginning of that calendar year or ... ... ... ... euros , whatever is higher",monthly forecast calendar aggregate higher
"notwithstanding anything to the contrary in the foregoing, and for calendar year only, the ... ... amount recited as an element used to determine the minimum purchase in a calendar year is hereby reduced to",reduced minimum notwithstanding calendar element
"if bellicum fails to tender such firm purchase order and has not otherwise met the minimum purchase requirements within said ... ... day period, in its sole discretion, effective immediately upon bellicum s receipt of written notice of miltenyi s election to do so",tender receipt discretion order purchase
"for purposes hereof, each of the following events shall be deemed a supply failure i if miltenyi, using",supply failure following shall hereof
"fails to deliver to bellicum at least ... ... on a miltenyi product by miltenyi product basis of an accepted purchase order of miltenyi product placed by bellicum in accordance with the relevant binding forecast within a reasonable period of time after the agreed delivery date therefor whether by reason of force majeure or otherwise more than twice during any calendar year provided, that any of the foregoing events shall not be considered a supply failure to the extent that it results from x an act or omission of bellicum, including any specific written instructions or requirements issued by bellicum",delivery deliver supply failure accordance
"including an bellicum requested change or y the failure or delay on the part of any supplier of materials designated and required by bellicum or any other subcontractor designated and required by bellicum or z a required change or other change in any material requirement relating to the development, packaging and shipping of miltenyi product at miltenyi s facility required by applicable laws, or the imposition of any other condition with respect to the miltenyi product by any governmental body or agency",supplier requirement condition applicable product
"or regulatory authority, based on applicable laws, or an event of force majeure",regulatory authority force event applicable
"ii if miltenyi fails to deliver to bellicum at least ... ... on a miltenyi product by miltenyi product basis of an accepted purchase order, then for that miltenyi product affected by such failed delivery, the next step in the discount scheme set forth in exhibit f shall be applied to such miltenyi product during the following two calendar quarters and a repeated failure shall result in further step in the discount scheme being applied in like manner",discount failure delivery deliver product
"omitted in the event that flotek does not order the minimum quantity in a given year, fcc may ship to flotek the remaining quantity of terpene product prior to the end of such year, and invoice flotek as described in section c",invoice terpene quantity order minimum
"the transporter reserves the right to reject any transportation request in addition to the reasons mentioned during the nomination process and the transportation schedule, those coming from a sender who has breached a transportation contract, this manual or any applicable regulations",transporter transportation reject sender contract
"the minimum characteristics of the hydrocarbon which must be included in the certificate are viscosity cst and ssu at f, f and f, gravity api at f",hydrocarbon viscosity certificate minimum ssu
"if by any reason, delivery is between and up to of its scheduled capacity, the transporter shall charge the transportation fee for volumes delivered when these are above the contracted capacity in firm",delivery fee transportation transporter capacity
"sender without contracted capacity in firm if by any reason, the delivery is less than or more than of its scheduled capacity, the sender shall pay the transportation fee for volumes delivered the transporter may decide to charge the sender a sanction equivalent to of the transportation fee of the scheduled capacity",fee delivery capacity transporter contracted
"if by any reason, delivery is between and up to of its scheduled capacity, the transporter shall charge the transportation fee for volumes delivered",delivery transporter transportation fee capacity
"minimum transportation rate acceptable to releasing shipper if none, write none includes commodity component tariff rate ii bid requirements a x reservation, volumetric or volumetric with volume commitment b dollar cents or percentage",rate transportation shipper minimum tariff
"shipper guarantees that during each contract year, shipper will meet its quarterly volume commitment or, in the event it fails to do so",quarterly shipper commitment contract volume
"subject to the provisions of section of this agreement, if the volume of each product shipped by shipper on the pipeline during the quarter is less than the applicable quarterly volume commitment for that product then, in addition to paying any amounts incurred by shipper pursuant to section with respect to shipper deliveries for such quarter",quarterly pipeline quarter volume pursuant
