,text,keywords
238,"leadersonline hereby grants verticalnet a non exclusive, royalty free right and license for the term of this agreement to use, copy or modify the leadersonline mark",license agreement exclusive copy free
239,"subject to the limitations set forth in section restrictions hereof, verticalnet hereby grants to leadersonline a non exclusive, nontransferable right and license to access the resume bank",resume license bank access exclusive
240,"verticalnet hereby grants neoforma an exclusive license, even as to omitted verticalnet, perform and transmit the verticalnet medical product listings",license medical transmit exclusive product
241,"subject to and in accordance with the terms, conditions and provisions of this agreement, to the extent that verticalnet has the right to do so",agreement extent accordance subject right
242,"neoforma hereby grants verticalnet an exclusive license, even as to neoforma, perform and transmit the neoforma laboratory product listings",license exclusive laboratory transmit product
243,"subject to and in accordance with the terms, conditions and provisions of this agreement, to the extent neoforma has the right to do so",agreement accordance extent subject right
244,"neoforma hereby grants verticalnet an exclusive license to use, perform and transmit the neoforma career content, subject to and in accordance with the terms",license career content transmit exclusive
245,"neoforma hereby grants verticalnet an exclusive license to use, perform and transmit the neoforma t e content, subject to and in accordance with the terms",license transmit content exclusive accordance
246,"verticalnet hereby grants to neoforma a non exclusive, non transferable license to use, display and transmit the verticalnet content",license transferable transmit content exclusive
247,"solely in connection with the operation of the neoforma site, subject to and in accordance with the terms, conditions and provisions of this agreement",agreement operation accordance solely site
248,"paperexchange hereby grants verticalnet an exclusive license to use, perform and transmit the paperexchange content, subject to and in accordance with the terms",license content transmit exclusive accordance
249,"verticalnet hereby grants to paperexchange a non exclusive, non transferable license to use, display and transmit the verticalnet content",license transferable transmit content exclusive
250,"solely in connection with the development, maintenance and operation of the paperexchange site, subject to and in accordance with the terms",maintenance development accordance site operation
251,"nettaxi hereby grants to spinrecords.com a non exclusive, royalty free license to use the nettaxi brand features as the same may be modified from time to time for the purposes of this agreement spinrecords.com hereby grants nettaxi a nonexclusive, royalty free license to display and distribute the",license brand free exclusive distribute
252,"on or before the launch date, each party shall grant the other party a non exclusive, revocable right to use their approved marks",exclusive date launch revocable party
253,"boxlot hereby grants to theglobe a non exclusive, worldwide license to use, create derivative works of only as necessary to build pages in a manner consistent with this agreement",license agreement derivative exclusive create
254,"publicly perform and digitally perform boxlot banners, and those elements of the boxlot content served from theglobe s servers as denoted in exhibit a , on theglobe site or otherwise as reasonably appropriate to advertise and promote the service and the co branded pages",advertise promote branded publicly service
255,"subject to the approval process in section , theglobe hereby grants to boxlot a non exclusive, worldwide license to use",license approval exclusive use section
256,"each party hereby grants to the other party a except as provided in section b assignment assignment , with no right to sublicense except as set forth below under all of its intellectual property rights to use, and create derivative works of each party s preexisting intellectual property rights solely as is reasonably and actually necessary to complete the development of the service",sublicense assignment service development party
257,"each party the granting party hereby grants the other party the using party a limited license to use its brand features in connection with the marketing, provision of access to, and support of the service",license marketing service provision limited
258,"chase grants affiliate a non exclusive, revocable right to a access the chase site through the links solely in accordance with the terms of this agreement and b solely in connection with such links, to use chase s logos",affiliate chase logos exclusive access
259,"and similar identifying material relating to chase collectively, the licensed materials , for the sole purpose of booking chase products",chase booking licensed material purpose
260,"ncm hereby grants to network affiliate at no cost a limited, royalty free license in the territory during the term only to receive, convert or otherwise manage",affiliate license network limited free
261,"subject to the terms and conditions of this agreement, ncm hereby grants to network affiliate, and network affiliate hereby accepts",affiliate agreement network subject
262,"subject to the terms and conditions of this agreement and such other standards, trademark usage guidelines and specifications as are prescribed by ncm during the term of this agreement the ncm quality standards , ncm hereby grants to network affiliate",agreement quality affiliate network
263,"and network affiliate hereby accepts, a non exclusive, non transferable except in connection with an assignment of this agreement in accordance with section hereof",affiliate transferable agreement exclusive connection
264,"limited license i to use the ncm marks solely in connection with its receipt and exhibition of the service, as approved by ncm in writing in advance, and ii to use the ncm marks in marketing or advertising materials marketing materials that have been approved by ncm pursuant to the terms hereof",license advertising marketing limited receipt
265,"subject to the terms and conditions of this agreement, network affiliate hereby grants to ncm, and ncm hereby accepts",affiliate agreement network subject
266,"a non exclusive, non transferable except in connection with an assignment of this agreement in accordance with section hereof , limited license i to use the network affiliate marks solely in connection with its delivery of the service",affiliate license transferable exclusive agreement
267,"to the extent any derived works are included in the service, ncm hereby grants to network affiliate during the term a non exclusive, non sublicenseable license to such derived works solely for use in connection with the service as expressly provided by this agreement",affiliate license exclusive derived network
268,"upon activation of the affiliate, the software publisher grants the affiliate a non exclusive, revocable right to use provided advertising material",affiliate activation publisher advertising exclusive
269,"network hereby grants to affiliate the exclusive right via broadcast television, and affiliate hereby accepts such exclusive right and the obligation during the term to broadcast the service via broadcast television i over the transmission facilities of each station identified on exhibit a, which is licensed by the fcc to serve the community for each such station the licensed community",affiliate broadcast station network licensed
270,"for receipt by tv households in the dma in which the licensed community is located, as such dma is identified on exhibit a, and ii over the transmission facilities of any acquired station",station transmission licensed receipt community
271,"except to the extent that, as of the date affiliate notifies network in writing of its binding agreement to acquire such acquired station, a another broadcast television station in the same dma as the acquired station has exclusive rights to broadcast the service",broadcast affiliate exclusive station acquire
272,"network hereby grants affiliate during the term a royalty free, fully paid up, non exclusive license to use the marks as defined in section e in any advertising and promotional materials undertaken in connection with affiliate s transmission of the service",affiliate advertising promotional license network
273,"subject to the terms and conditions set forth herein, theismann hereby grants to bizzingo and its affiliates the unlimited right and privilege during the term as defined herein and within the territory to use the property as defined herein in connection with the advertisement, and sale of the network in the territory whether through film",advertisement privilege territory property film
274,"i it being understood and agreed that bizzingo shall have the right to exhibit commercials, advertisements and otherwise make use of all property on a worldwide basis and that bizzingo and its affiliates shall be the sole owner of all commercials, promotional materials and other items produced or created hereunder and all related rights worldwide",property promotional owner exhibit
275,"company acknowledges that this agreement does not grant company any rights with respect to any other nfla marks defined below , or other attributes of any nfla member or other individual, or any audio or video of any nfla event",agreement respect company grant audio
276,"in consideration of the remuneration to be paid to the nfla nc pursuant to this agreement, the nfla grants to company and to its authorized distributors and sublicenses the right and license during the contract period to use the nfla identification solely in connection with the advertisement, marketing and promotion of the products within the contract territory as set forth in this agreement",license contract agreement pursuant remuneration
277,"subject to the terms and conditions and in consideration of the payments set forth herein and in the primary agreement, csa as disclosed agent for talent grants to company from the commencement date the right and license during the term of this agreement in the territory to use the property in connection with the advertisement, and sale of the property training course and the product as well as the right to use such property on the product and related packaging",license agreement advertisement training property
278,"individual grants lifeway together with its affiliates, parent companies and their representatives and employees have an unlimited, except as set forth in section",unlimited parent section individual
279,"right to use, create derivative works, and display throughout the world the name",derivative world display create use
280,"image and likeness of individual in marketing materials as defined below in connection with marketing, advertising or otherwise promoting the lifeway products and or services and for historical reference and display purposes and other internal purposes, including without limitation",likeness image advertising marketing individual
281,"subject to the terms set forth in this agreement, north hereby grants to company the right and privilege to use north s likeness and north s endorsement during the term and within the contract territory in all reasonable forms of advertising including, but not limited to television including the infomercial format",endorsement north advertising contract agreement
282,"during the term and subject to the limitations set forth in paragraphs and , hds shall have the right to use the name, visual and audio representation of celebrity celebrity attributes in connection with hds product",celebrity audio representation subject term
283,"subject to the terms and conditions of this agreement, xencor hereby grants to aimmune during the term an exclusive, payment bearing license under and with respect to xencor patents and xencor s interest in joint collaboration patents",agreement license exclusive collaboration joint
284,"and a non exclusive, payment bearing license under and with respect to xencor know how, in each case",license payment exclusive bearing know
285,"with the right to sublicense solely in accordance with section , solely to develop, manufacture and commercialize the product in and for the licensed field provided that notwithstanding the foregoing",sublicense licensed commercialize manufacture accordance
286,"aimmune covenants that it will not research or develop including develop the antibody itself, including not developing any modification, progeny or derivatives of such antibody",antibody develop modification progeny research
287,"aimmune hereby covenants and agrees that it shall not and shall cause the other aimmune agreement entities not to , either directly or indirectly, or commercialize the product for use outside the licensed field",agreement commercialize licensed product shall
288,"aimmune hereby grants to xencor an exclusive license under and with respect to aimmune patents, and a non exclusive license under and with respect to aimmune know how, in each case",license exclusive non case know
289,"where such license is an irrevocable, royalty bearing license, with the right to sublicense",sublicense license irrevocable royalty bearing
290,"manufacture and commercialize the product s , as the product s exist as of the effective date of such termination, or optimized versions thereof that are products",commercialize termination manufacture product date
291,"if the client, in its reasonable discretion, the client is hereby granted an exclusive",exclusive client discretion reasonable
292,"subject to the provisions of this agreement, bioeq hereby grants to licensee an exclusive even as to bioeq , milestone and royalty bearing",licensee agreement exclusive milestone royalty
293,"for those countries where a specific license is required for a joint owner of a joint invention or joint improvement to practice such joint invention or joint improvement, in such country, each party hereby grants to the other party a perpetual",license joint invention perpetual country
294,"fully paid up license, transferable and sublicensable, under such party s right",license transferable party fully right
295,"licensee hereby grants to bioeq during the term of this agreement and, subject to section , after termination omitted or expiration of this agreement a non exclusive",licensee agreement termination expiration exclusive
296,"irrevocable license including the right to grant sublicenses under all intellectual property rights and know how controlled by licensee and embodied within, or claiming or covering the licensee improvements, or otherwise commercialize licensed products outside of the territory",irrevocable license licensed licensee commercialize
297,"solely in the event that this agreement is terminated by bioeq pursuant to sections , or or by licensee pursuant to section , licensee shall grant",pursuant agreement licensee solely section
298,"franchisor hereby grants to developer, subject to the terms and conditions of this agreement if section is applicable add , and specifically section hereof",agreement developer hereof applicable section
299,"and as long as developer shall not be in default of this agreement or any other development, franchise or other agreement between developer and franchisor, non exclusive exclusive development rights to establish and operate franchised restaurant s",franchise restaurant agreement exclusive development
300,"upon the effective date, harpoon hereby grants to abbvie the exclusive right, but not the obligation",harpoon obligation exclusive date right
301,"notwithstanding the foregoing, to the extent required by applicable law in a country or other jurisdiction in the territory, the promotional materials",jurisdiction promotional law territory applicable
302,"and product labeling for the licensed products used by abbvie and its affiliates in connection with the licensed products in such country or other jurisdiction shall contain a the corporate name of harpoon and to the extent required, harpoon grants abbvie a license, with the right to sublicense",sublicense harpoon license licensed jurisdiction
303,"effective upon the date that abbvie commences performing initial development activities pursuant to section , harpoon on behalf of itself and its affiliates shall grant and hereby grants abbvie a co exclusive with harpoon , royalty free license",harpoon license pursuant development exclusive
304,"with the right to grant sublicenses in accordance with section , under the harpoon patents, the harpoon know how",harpoon grant accordance section right
305,"harpoon on behalf of itself and its affiliates hereby grants to abbvie a co exclusive with harpoon , royalty free subject to license, with the right to grant sublicenses in accordance with section",harpoon license behalf exclusive grant
306,"under the harpoon patents, the harpoon know how, and harpoon s interests in the joint patents and the joint know how",harpoon joint know
307,"upon the license option exercise closing date, harpoon on behalf of itself and its affiliates hereby grants to abbvie a an exclusive including with regard to harpoon and its affiliates, except as provided in section license or sublicense",sublicense harpoon license exclusive behalf
308,"with the right to grant sublicenses in accordance with section , under the harpoon patents, the harpoon know how",harpoon grant accordance section right
309,"and harpoon s interests in the joint patents and the joint know how, to exploit the licensed compounds and licensed products in the field in the territory b an exclusive including with regard to harpoon and its affiliates, except as provided in section license and right of reference",harpoon joint licensed license territory
310,"upon the effective date, abbvie hereby grants to harpoon a non exclusive, royalty free license",harpoon license exclusive free royalty
311,"without the right to grant sublicenses other than to permitted subcontractors of harpoon in accordance with section , under the abbvie patents, abbvie know how",harpoon grant accordance permitted section
312,"and abbvie s interests in the joint patents and the joint know how, to develop and manufacture the licensed compounds or licensed products in the territory solely to the extent necessary for harpoon to perform its obligations as set forth in, and subject to",harpoon joint manufacture licensed
313,"at harpoon s sole election by written notice to abbvie, abbvie shall grant, and hereby grants to harpoon",harpoon grant election shall notice
314,"ibio hereby grants to cc pharming for the term of this agreement, limited right and license to use ibio s technology in order to manufacture, and obtain regulatory approval for the development and production of product s and work to be performed under this agreement",regulatory license approval agreement manufacture
315,"subject to the terms and conditions set forth herein, dss hereby grants to developer, and developer accepts from dss",developer subject forth set
316,"for the term, a non exclusive, and non transferable license to install and use the technology for the sole purpose of developing the improvements as defined hereunder thereto for the benefit of dss the technology development services license",license development technology transferable term
317,"t b hereby grants to lea, and lea hereby accepts from t b, during the term",lea term
318,"the sole and exclusive worldwide right and license in and to the licensed intellectual property, which right and license shall be limited to that which is necessary for lea to i develop and create educational materials and ii develop, promote and conduct the business worldwide",license licensed develop limited business
319,"upon and subject to the terms and conditions stated in this agreement, on the effective date, for the consideration described in this agreement and eutectix s performance of its other obligations under this agreement",agreement consideration stated performance date
320,"liquidmetal grants to eutectix the right and license to use the following equipment owned by liquidmetal the licensed equipment i solely for use on liquidmetal s behalf, ii for eutectix s own limited use in the production of liquidmetal products as defined below or licensed products as defined below , iii for the continued development of applications utilizing bulk metallic glasses in cooperation between liquidmetal and eutectix",license licensed glasses equipment limited
321,"and iv independently by eutectix pursuant to the terms of this agreement a two engel e motion injection molding machines, and associated equipment b two eontec c die casting machines, and associated equipment c one flow mb waterjet machine d two dmg mori milltap cnc machines",equipment injection machine motion
322,"and associated consumables and fixtures e equipment for cut, and polish analysis operations, including i. one struers accutom cut off machine ii",equipment machine cut polish analysis
323,"one rosler r ec rotary vibrator omitted g equipment required for passivation operations, including i. one esma, inc. ec ultrasonic cleaning system h one dry cooler d chill water system i one mts mts mechanical testing frame and j molds and fixtures needed for production of sample parts",vibrator rotary equipment passivation mechanical
324,"liquidmetal grants to eutectix during the term of this agreement and subject to the field of use restrictions as defined below , a royalty bearing, non exclusive license or sublicense as the case may be to the licensed patents as defined below and the licensed technical information as defined below to make and have made",license licensed sublicense technical exclusive
325,"assemble and have assembled, offer to sell, import and offer to import",assemble import sell offer
326,"export and offer to export, distribute and offer to distribute, and maintain licensed products in the field as defined below",distribute export licensed field maintain
327,"new process technologies that have been developed by eutectix, alone or with a third party, shall be solely owned by eutectix",process new solely shall party
328,"for this purpose, consumer electronic products means personal computers portable and desktop tablet or slate style computing devices handheld electronic and or communication devices e.g., digital music players",electronic consumer tablet digital portable
329,"any device whose function includes the creation, storage or consumption of digital media any component or sub component in any consumer electronic product and any accessory that is the same or similar in the sole discretion of apple, inc. to an accessory made or sold by or on behalf of apple regardless of when apple sold or started to sell such accessory",device apple accessory digital electronic
330,"c. finished or semi finished jewelry, and also any other products that are sold under the name of a luxury brand or incorporated into products that are sold under the name of a luxury brand, including without limitation a buckles for belts",jewelry brand luxury semi finished
331,"for purposes hereof, the term jewelry means rings, and other objects that are ornamental in nature and used for adornment of the human body",jewelry ornamental adornment term body
332,"luxury brands consist of the following brands and any other similar, renowned luxury brand which is used as the sole or primary brand on a competitive product sold at similar price point licensed products may not be sold to any customer in, or to any customer for distribution into",luxury brand product renowned competitive
333,"the following countries, without liquidmetal s prior written consent, which consent shall not be unreasonably withheld",consent prior withheld shall written
334,"subject to the conditions and limitations set forth in this agreement, the licensor hereby grants to the licensee, and the licensee hereby accepts",licensee licensor agreement subject forth
335,"i an exclusive, non transferable distribution right of the licensed product in the territory during the term the distribution , ii an exclusive",exclusive distribution transferable licensed territory
336,"non transferable license to the licensor s patents and trademarks to register, sell and have sold the licensed product during the term, without the right to sublicense the license",sublicense license licensed transferable licensor
337,"and iii an exclusive, non transferable license to the intellectual property except patents and trademarks and the developed intellectual property and a right to obtain the technology transfer of the know how to manufacture the licensed product in the territory during the term, pursuant to the conditions set forth in article below and elsewhere in this agreement the technology transfer",license transferable technology manufacture licensed
338,"all to register, sell and have sold the licensed product during the term, without the right to sublicense",sublicense licensed register sell product
339,"in the case of any individual consultant of sfj or its affiliates excluding sfj s and its affiliates permitted third parties , if sfj is unable to cause such consultant to agree to such assignment obligation despite sfj s using commercially reasonable efforts to negotiate such assignment obligation, then sfj shall either a cause such consultant to grant an exclusive",consultant exclusive negotiate commercially obligation
340,"freely assignable license, with the right to sublicense through multiple tiers, under their rights in such trial invention to develop",sublicense license trial freely invention
341,"offer for sale and import the product for any and all uses, except where applicable law requires otherwise and except in the case of consultants who are employed by governmental, not for profit",profit sale product import employed
342,"or public institutions that have standard policies against such an assignment in which case, sfj shall use commercially reasonable efforts to obtain a suitable license, or right to obtain such a license or b refrain from using such consultant to conduct activities pursuant to this agreement unless pb obtains medimmune s written consent thereto",consultant commercially license public consent
343,"subject to the terms and conditions of this agreement, revmed hereby grants to sanofi an exclusive even as to revmed and its affiliates , royalty bearing license which shall be sub licensable solely as provided in section under the revmed licensed technology",license licensed licensable agreement exclusive
344,"offer for sale, import and otherwise commercialize and exploit products including, any companion diagnostics with respect to such products in the field in the licensed territory",diagnostics licensed commercialize sale import
345,"subject to the terms and conditions of this agreement, sanofi hereby grants to revmed a non exclusive, royalty free sublicense which shall only be further sub licensable a to revmed s subsidiaries",sublicense licensable exclusive agreement shall
346,"b to the permitted contractors or researchers, and c solely with sanofi s prior written consent, such consent not to be unreasonably withheld",consent prior solely written permitted
347,"delayed or conditioned, to third parties who are not permitted contractors or researchers under the rights exclusively licensed to sanofi pursuant to section , solely to the extent necessary for revmed to perform its obligations under this agreement and the ancillary agreements",pursuant agreement licensed solely ancillary
348,"sanofi shall have rights to use, at no additional cost, any revmed study data in its performance of its obligations and exercise of its rights under the collaboration except in connection with filing of maas for the indication and product treatment regimen that were the subject of such revmed study",treatment study use product data
349,"to the extent necessary to effect the foregoing in a country other than the united states, each party grants to the other party a nonexclusive, with the right to grant sublicenses",grant extent party country foregoing
350,"under the granting party s interest in joint program technology, for any and all purposes, provided that revmed s interest therein shall be subject to the other terms and conditions of this agreement",agreement joint technology shall program
351,"upon expiration of this agreement, the licenses granted to sanofi under section will become fully paid up, perpetual and irrevocable",expiration irrevocable agreement perpetual section
352,"effective upon any such termination of this agreement, and hereby does, grant to revmed",termination agreement effective grant does
353,"notwithstanding the foregoing, shall not include , and shall include to the extent",notwithstanding foregoing extent include shall
354,"effective upon any such termination of this agreement, and hereby does, grant to revmed",termination agreement effective grant does
355,"effective upon any such termination of this agreement, and hereby does, grant to sanofi",termination agreement grant effective does
356,"all licenses and other rights granted to sanofi under the revmed licensed technology under this agreement shall terminate except as necessary to permit sanofi to perform its surviving obligations under this article xii and all rights thereunder shall revert to revmed provided, effective upon any such termination of this agreement, and hereby does",revert termination terminate licensed agreement
357,"grant to sanofi a non exclusive, with the right to grant sublicenses to contractors and otherwise only with revmed s prior written consent, under each revmed program invention and",grant consent exclusive invention program
358,"during the term, sekisui is hereby permitted to use the qualigen name and any qualigen content including the content of any existing sales collateral and marketing materials in any sales collateral, marketing materials or other communications used in connection with the marketing and sales of the product with the prior written consent of qualigen",term marketing collateral content used
359,"subject to the terms and conditions of this agreement, licensor hereby grants to licensee, and licensee hereby accepts from licensor",licensee licensor agreement subject
360,"subject to the terms and conditions of this agreement, licensor hereby grants to licensee, and licensee hereby accepts from licensor",licensee licensor agreement subject
361,"non transferable except as set forth in section and non sublicensable except as provided in section c license to use the licensed content in connection with websites associated with the licensed domain names until the earlier of i termination or expiration of this agreement, or ii termination or expiration of the agency agreement, that in the event the agency agreement is amended or restated",transferable license termination domain agency
362,"subject to the terms and conditions of this agreement, zynga grants to wpt a non exclusive, limited worldwide license to use and display zynga s licensed property solely as necessary to perform wpt s obligations under this agreement and as specifically described on exhibit a",license licensed agreement exclusive limited
363,"subject to the terms and conditions of this agreement, wpt grants to zynga a non exclusive, limited license in the territory to use and display wpt s licensed property solely as necessary to perform zynga s obligations under this agreement and as specifically described on exhibit a",license licensed agreement territory exclusive
364,"notwithstanding the foregoing, for each end user that previously downloaded a zynga game that includes wpt s licensed property, and stored such zynga game within such end user s device",licensed device user game property
365,"wpt grants a license and right to continue to use, use and display that game on the end user s device in perpetuity at no additional charge provided, that zynga shall use best efforts to offer end users updates to its games which no longer include wpt s licensed property after the term",license licensed perpetuity device game
366,"notwithstanding any termination of this agreement, any approved content that includes zynga s licensed property may remain in perpetuity in any media in which such licensed property was integrated into during the term e.g., televised wpt tournaments or wpt invitational tournaments",invitational content licensed media perpetuity
367,"social media posts, repurposed integrations for best of television programs or for historical purposes e.g., reference on wpt s website that zynga sponsored tour events took place as part of the tour",tour social media television historical
368,"in the alternative, if licensor is not the sole and exclusive owner of all of the foregoing intellectual property rights to the content, licensor has been granted by the owner or rightful sub licensee of the intellectual property of the content the right to grant the rights provided by licensor to plan b under this agreement",licensor licensee agreement exclusive property
369,"during the term, for the activities described in this agreement, imntv hereby grants distributor non exclusive rights and licenses necessary within the territory to a copy",agreement distributor territory exclusive copy
370,"host and stream the programming b publicly perform, distribute and broadcast the programming c promote the programming and use imntv marks for distributor s promotion of the programming as activities described in section above d archive the programming on distributor s servers e encode, and create continuous programming excerpts of up to sixty seconds and transmit",distribute broadcast transmit promote promotion
371,"in exchange for the share consideration, licensor hereby grants to licensee a non exclusive, perpetual and non perpetual license subject to the duration for which licensor has the rights to each title as specified in schedule a a of schedule a to i. license",license licensee licensor exclusive title
372,"and otherwise exploit and make available each title within the territory in any language by vod including svod, avod and free vod for internet, tv and mobile platforms including",territory language mobile title exploit
373,"but not limited to, ott streaming services, sites and mobile sites",streaming mobile limited
374,"except that for titles listed in schedule a a of schedule a, licensor can only grant licensee distribution rights to up to six msos plus two of china s internet tv license holders or their ott internet based video partners by vod including svod, avod and free vod",license licensee licensor free
375,"licensor hereby grants licensee a non exclusive license to use the logos, trademarks and service marks used by licensor to identify the titles collectively, licensor marks in connection with the use of the titles as set forth in this agreement",license licensee licensor logos agreement
376,"subject to the terms and conditions of this agreement, content provider hereby grants and assigns by means of present assignment to company and company hereby assumes for the term of this agreement as set forth in paragraph , content provider s rights and obligations regarding the content from licensors as set forth in exhibit a with respect to the right and license for the territory of the people republic of china to use",provider content agreement license company
377,"in this regard, it is specifically understood and agreed that content provider will not during the term of this agreement take any action to exploit or otherwise use, transmit and publicly display any of the content via the internet to universities and college students in the people s republic of china except for the benefit of the company",provider content agreement publicly transmit
378,"each party hereby grants to the other a non exclusive, limited royalty free license to use its trademarks, service marks or trade names only as specifically described in this agreement",license agreement exclusive limited royalty
379,"subject to the terms and conditions of this agreement, pacificap entertainment hereby grants to the henry film and entertainment corporation, under pacificap entertainment s full ownership and or fully authorized licensing rights of content a a year exclusive",ownership entertainment corporation film exclusive
380,"both parties agree that party a shall license the program content required in party b business to party b, and party b shall accept the services provided by party a, to the extent",license business content party shall
381,"subject to the terms and conditions set forth herein, world book hereby grants to hswi, irrevocable limited license to use",license irrevocable limited book subject
382,"modify subject to section iv , and display the content, images and affinities in whole or in part",section subject content modify display
383,"world book further grants hswi the right to sub license the content, images and affinities to users of the hswi websites to view, and to make reasonable copies of the content",license content book world
384,"images and affinities to use such content, images and affinities for non commercial, provided that hswi sets forth the limited terms of such sublicense in writing in the hswi websites terms and conditions",sublicense content limited use commercial
385,"world book grants hswi the right to sub license the content for business development purposes, with no more than of the content being licensed to any single third party, and in limited",license licensed book content business
386,"hswi may not sublicense the content, images or affinities to any paid subscription website which is an aggregator of third party content for the avoidance of doubt, such shall not include the omitted hswi websites",sublicense subscription aggregator content include
387,"subject to the terms and conditions of this agreement, world book grants hswi the right to use, translate subject to section",agreement subject section book translate
388,"and display the content that comprises the affinities as part of the affinities, and the affinities themselves, in any manner and in any digital media and to sublicense such rights to third parties",content media sublicense digital display
389,"world book grants hswi the right to use, translate subject to section , and display the images as part of the affinity",affinity section subject book translate
390,"ceis hereby grants xfn and its affiliates an exclusive license free of all third party liens, claims and encumbrances to, and to permit others to",license permit exclusive free
391,"during the term in the territory omitted a store or cache the content in one or more host computers controlled directly or indirectly by xfn or its affiliates b adapt, revise or encode the content and c publish, make available to the public or otherwise exploit the content in any manner by any device or in media now or hereafter known",content media territory publish cache
392,"ceis hereby grants xfn and its affiliates a non exclusive license free of all third party liens, claims and encumbrances to, and to permit others to",license permit exclusive free
393,"during the term in the people s republic of china a store or cache the content in one or more host computers controlled directly or indirectly by xfn or its affiliates b adapt, revise or encode the content and c publish, make available to the public or otherwise exploit the content in any manner by any device or in omitted media now or hereafter known",cache content media publish china
394,"webmd agrees to grant, and emdeon agrees to accept, a license to use the content as defined below in connection with various software products it has all right title and interest to the software in accordance with the terms of this agreement",license agreement content accordance grant
395,"such license is a non exclusive, non transferrable and worldwide license and shall include the right to use, copy and publish the content solely in connection with the software",license publish copy content exclusive
396,"for the term of this agreement, company grants distributor a limited, non exclusive license under company s copyrights to use the company products at distributor s facilities in the territory solely for marketing and support purposes directly related to the performance of its duties under this agreement",license distributor exclusive marketing limited
397,"during the term of this agreement, and subject to the terms and conditions hereof, staar hereby grants to distributor",agreement distributor term hereof subject
398,"and distributor hereby accepts, nonexclusive right and license to use the trade name, and logos of staar collectively",distributor logos license nonexclusive collectively
399,"without the right to grant sublicenses, solely in connection with the marketing, distribution and sale of the products in the territory pursuant to this agreement",agreement marketing territory pursuant grant
400,"subject to the terms and conditions of this agreement, zogenix hereby appoints distributor, and distributor accepts appointment",distributor agreement appointment subject
401,"as the exclusive distributor even as to zogenix of the product in the field in the territory during the term, and grants to distributor the exclusive rights to maintain regulatory approval of while distributor is the mah party , offer for sale",distributor regulatory exclusive approval sale
402,"distributor hereby grants zogenix an irrevocable, fully paid up, exclusive license with the right to grant sublicenses to use such data solely generated and co owned by distributor outside of the territory and a co exclusive license in the territory upon expiration or termination of the agreement",license distributor irrevocable exclusive data
403,"subject to the terms and conditions of this agreement, zogenix hereby grants to distributor an co exclusive, limited right under the product trademarks solely to promote",distributor exclusive agreement promote limited
404,"subject to the terms and conditions of this agreement, zogenix hereby grants to distributor a non exclusive, limited right under the zogenix trademarks solely to promote",distributor exclusive agreement limited promote
405,"distributor hereby grants zogenix an irrevocable, fully paid up, non exclusive license with the right to grant sublicenses under such distributor inventions and any patents or patent applications claiming or disclosing such distributor inventions",distributor patent license irrevocable exclusive
406,"in the event that zogenix is the holder of the regulatory approval for the product in the territory at the time of termination pursuant to section c by zogenix or section d by distributor or expiration pursuant to section , such license agreement shall also include a grant by zogenix to distributor of the right to reference and use all data and regulatory filings including all regulatory approvals , such reference and use solely for maintaining regulatory approval and commercializing the product in the territory in the field",regulatory license pursuant approval distributor
407,"subject to the terms and conditions of this agreement, arizona hereby grants to the company a perpetual, royalty free license in",license agreement company free perpetual
408,"subject to the terms and conditions of this agreement, the company hereby grants to seller a perpetual, royalty free license in",license agreement seller company royalty
409,"subject to the terms and conditions of this agreement, arizona hereby grants to the company a perpetual, royalty free license in",license agreement company free perpetual
410,"subject to the terms and conditions of this agreement, the company hereby grants to seller a perpetual, royalty free license in",license agreement seller company royalty
411,"subject to the terms and conditions of this agreement, arizona hereby grants to the company a perpetual, royalty free license in",license agreement company free perpetual
412,"subject to the terms and conditions of this agreement, the company hereby grants to seller a perpetual, royalty free license in",license agreement seller company royalty
413,"subject to the terms and conditions of this agreement, arizona hereby grants to the company a limited, non sublicensable except as set forth in section",agreement limited company non section
414,"non assignable license in, to and under the arizona licensed trademarks for the arizona trademark license term for use in the company field throughout the world only in the form and manner that such arizona licensed trademarks are used in the business as of the closing, provided that the company shall use commercially reasonable efforts to present the arizona licensed trademarks in the form set forth on schedule",license licensed commercially assignable company
